embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,120,0.2882278086110959,0.9661298748179888,0.21565521862250125,0.5565097292493769,0.3589400548558698,0.0,1.0,0.34259823428073105,0.0,0.8939496302737071,1212
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,350,0.22254730231704223,0.991489081067197,0.17687603054290496,0.36847052520710505,0.2727326070786455,0.0,0.8698795587960151,0.35705625329753105,0.0,0.9288761845739255,1212
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,5,0.7794087057809224,0.904800581741441,0.7182852138685226,0.7452410782525942,0.7818082843180505,0.24587904080564482,1.0,0.6288776872310556,0.11920699157815062,1.0,984
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,13,0.5540897680322276,0.9200140228843754,0.5097223577551468,0.6797103314900212,0.6288054565185782,0.0,1.0,0.5107732830123698,0.02051865927879526,1.0,984
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,38,0.4438441647815155,0.9687591656383797,0.4277433101508252,0.6552611012809607,0.46408920552593874,0.0,1.0,0.42355384315138545,0.0,0.9909894760527228,984
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,120,0.41509939479442565,0.9896668003005895,0.40924161746558935,0.5858874531097815,0.4566484462219302,0.0,1.0,0.463248423608032,0.0,1.0,984
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,350,0.4641644463505819,0.9973620316521492,0.4589274470562435,0.5549453035718199,0.5606187907167433,0.0,1.0,0.5587683202320894,0.0,1.0,984
Qwen/Qwen3-Embedding-0.6B,Raw,DC,5,0.6559877659157999,0.8413574429756283,0.551388797327629,0.6224493301168087,0.6852837521715633,0.030124014165413326,1.0,0.5491933780430648,0.012881792993039598,1.0,1128
Qwen/Qwen3-Embedding-0.6B,Raw,DC,13,0.5679123754683165,0.9250469888111961,0.5268408810381697,0.6581906873496196,0.5985166811429088,0.0,1.0,0.4790607527563957,0.0,1.0,1128
Qwen/Qwen3-Embedding-0.6B,Raw,DC,38,0.416643913704948,0.9657185600163831,0.398418730743493,0.6127568714241275,0.42020093966337096,0.0,1.0,0.36465824792199103,0.0,0.8767563155809825,1128
Qwen/Qwen3-Embedding-0.6B,Raw,DC,120,0.34928571600248837,0.9883790552255203,0.34267482072508226,0.49726076366967314,0.3603826492269853,0.0,1.0,0.3470388016781082,0.0,0.9014350585604063,1128
