embedding_model,reduction_method,reduction_params,cluster_method,cluster_params,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.5}",HDBSCAN,{},58,0.3400680193342766,0.8170059450218093,0.22598243637070886,0.42999670680942587,0.40175608202026786,0.387557691527459
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 100, 'n_neighbors': 30, 'min_dist': 0.5}",HDBSCAN,{},72,0.344075022788068,0.8231574308692299,0.23409253366684218,0.4036997670661149,0.4044402460587478,0.4301316983709644
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.01}",Agglomerative,{},58,0.2354542657807177,0.914722191619845,0.16606217051654465,0.4440738941099721,0.34868455426353134,0.342515664884498
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.01}",Agglomerative,{},72,0.19662886743030916,0.914288861958797,0.12432082618737422,0.41434127302326756,0.39432670299502587,0.41322559667452047
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.01}",HDBSCAN,{},58,0.22057725976747167,0.8989289167982569,0.1622019653964189,0.4228346779867054,0.2749924652125201,0.27058291671313023
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.01}",HDBSCAN,{},72,0.2061136062164699,0.9074249527703312,0.1444232298858907,0.41620596389582465,0.3055320843387408,0.429138023372495
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.1}",Agglomerative,{},58,0.2325162800912289,0.9159152762986629,0.15983313178929456,0.44902981137474507,0.36903218684105077,0.3557972660119133
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.1}",Agglomerative,{},72,0.18921941756370753,0.9142864137686215,0.1170080848272746,0.41427787797499693,0.38789806428595686,0.4371542652063445
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.1}",HDBSCAN,{},58,0.25003887836875643,0.9041215281603074,0.19197522876875528,0.4447196951570439,0.2999700361312733,0.2802746767306911
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.1}",HDBSCAN,{},72,0.1991650019718256,0.9046079019418228,0.1391478800798599,0.41333631153026607,0.32447296802464826,0.4376317891637976
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.5}",Agglomerative,{},58,0.22914266590782853,0.9162612871767879,0.15515010067570584,0.44439464800432527,0.3711805161382442,0.3474452324534204
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.5}",Agglomerative,{},72,0.1885751369810453,0.9145589789414842,0.11559955626867108,0.4091095358529476,0.3846385631721915,0.4094184926726663
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.5}",HDBSCAN,{},58,0.2807541401540735,0.8704866594037025,0.20913657669045818,0.4368865583252257,0.29368327483902823,0.2939115050705313
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 5, 'min_dist': 0.5}",HDBSCAN,{},72,0.2774754451125246,0.886578613426691,0.2156926669229913,0.4172030988475983,0.34223726708070024,0.43845956195525093
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.01}",Agglomerative,{},58,0.24827057378620204,0.9169500446794707,0.1740110370298319,0.46179787065406736,0.42973404254085584,0.40160977440229634
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.01}",Agglomerative,{},72,0.20495062659799523,0.9155668172303625,0.12877514720915878,0.4234250613516999,0.4793891673836306,0.41716525533147686
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.01}",HDBSCAN,{},58,0.3129419778786881,0.9098184666984931,0.25663618462157844,0.4791548612100618,0.3844031935985884,0.3483162199578583
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.01}",HDBSCAN,{},72,0.28414527123215116,0.9091925460769793,0.2247545111311586,0.4454201655897258,0.38464329802598546,0.46550677280143166
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.1}",Agglomerative,{},58,0.24804608170223205,0.9173082965084728,0.17255108616612774,0.4654496829753447,0.43991590844401923,0.40373944105431375
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.1}",Agglomerative,{},72,0.198036921311423,0.9151383839496652,0.12319059924248352,0.4251111705213075,0.4789137238437306,0.4245059004422241
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.1}",HDBSCAN,{},58,0.29208869388714054,0.9015639854903928,0.23592378254296664,0.46565150510087455,0.3621593765213924,0.3416381279209628
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.1}",HDBSCAN,{},72,0.31047737481795196,0.9077317926056496,0.25397386250554543,0.45748479215449095,0.38265636044711065,0.4384200574286581
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.5}",Agglomerative,{},58,0.2456925098798637,0.9174225453833253,0.16948904194028952,0.4630662441362107,0.44357655023018927,0.4142243926691561
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.5}",Agglomerative,{},72,0.20393173010989046,0.9157675688247463,0.12700884083184436,0.42852125591882734,0.46431300070743814,0.45379230566452655
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.5}",HDBSCAN,{},58,0.3110695020576987,0.8918332456065187,0.2521773258399145,0.46402944552771674,0.35203556324973634,0.3378354940552148
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 15, 'min_dist': 0.5}",HDBSCAN,{},72,0.30044028379878346,0.896856115783074,0.24324060513301518,0.44161821138950325,0.41627999451477016,0.3949148999157432
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 300, 'n_neighbors': 30, 'min_dist': 0.01}",Agglomerative,{},58,0.2812895551935721,0.9200388446174499,0.20060511884456877,0.48311780865196907,0.45601085889114545,0.4182548471797345
